SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE,DATE_STR,POTENTIAL_AST,AST_POINTS_CREATED,REB_CHANCES,REB_CONTEST_PCT,DRIVES,DRIVE_PTS,DRIVE_PASSES,PTS+REB+AST,PTS+REB,PTS+AST,REB+AST,STL+BLK
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022500719,2026-02-03,LAL @ BKN,W,30,10,16,0.625,0,3,0.0,5,7,0.714,1,2,3,7,3,0,1,1,25,24,47.1,1,02/03/2026,10.0,16.0,6.0,0.0,4.0,6.0,0.0,35,28,32,10,3
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022500708,2026-02-01,LAL @ NYK,L,35,9,15,0.6,2,6,0.333,2,6,0.333,1,4,5,6,1,0,1,0,22,-17,39.0,1,02/01/2026,10.0,15.0,0.0,0.0,7.0,6.0,3.0,33,27,28,11,1
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022500688,2026-01-30,LAL @ WAS,W,30,8,16,0.5,2,3,0.667,2,2,1.0,0,3,3,6,2,0,3,1,20,25,35.6,1,01/30/2026,9.0,14.0,0.0,0.0,4.0,2.0,1.0,29,23,26,9,2
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022500671,2026-01-28,LAL @ CLE,L,27,3,10,0.3,0,3,0.0,5,6,0.833,1,2,3,5,1,0,6,3,11,-23,19.1,1,01/28/2026,9.0,10.0,0.0,0.0,9.0,0.0,4.0,19,14,16,8,1
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022500661,2026-01-26,LAL @ CHI,W,33,9,19,0.474,1,4,0.25,5,6,0.833,0,5,5,3,1,0,2,3,24,-14,35.5,1,01/26/2026,11.0,8.0,0.0,0.0,6.0,4.0,2.0,32,29,27,8,1
22025,101108,Chris Paul,1610612746,LAC,LA Clippers,0022500313,2025-12-01,LAC @ MIA,L,15,3,7,0.429,2,3,0.667,0,0,0.0,0,0,0,3,0,0,1,1,8,-6,11.5,1,12/01/2025,6.0,10.0,0.0,0.0,4.0,2.0,1.0,11,8,11,3,0
22025,101108,Chris Paul,1610612746,LAC,LA Clippers,0022500300,2025-11-29,LAC vs. DAL,L,11,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,3,1,0,0,2,0,-2,9.9,1,11/29/2025,7.0,7.0,0.0,0.0,1.0,0.0,0.0,5,2,3,5,1
22025,101108,Chris Paul,1610612746,LAC,LA Clippers,0022500079,2025-11-28,LAC vs. MEM,L,15,2,4,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,2,5,-2,6.4,1,11/28/2025,8.0,4.0,0.0,0.0,3.0,0.0,1.0,7,7,5,2,0
22025,101108,Chris Paul,1610612746,LAC,LA Clippers,0022500059,2025-11-25,LAC @ LAL,L,9,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,4,-13,6.7,1,11/25/2025,3.0,3.0,0.0,0.0,1.0,2.0,0.0,6,5,5,2,0
22025,101108,Chris Paul,1610612746,LAC,LA Clippers,0022500278,2025-11-23,LAC @ CLE,L,17,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,5,0,0,2,1,2,-10,8.7,1,11/23/2025,7.0,15.0,0.0,0.0,1.0,2.0,0.0,8,3,7,6,0
22025,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,0022500560,2026-01-12,PHI @ TOR,W,2,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,0.0,1,01/12/2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
22025,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,0022500410,2025-12-23,PHI vs. BKN,L,10,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,0,3,3.2,1,12/23/2025,5.0,6.0,0.0,0.0,1.0,0.0,0.0,3,1,2,3,0
22025,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,0022501217,2025-12-14,PHI @ ATL,L,8,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,0,-3,1.7,1,12/14/2025,3.0,2.0,0.0,0.0,1.0,0.0,1.0,2,1,1,2,0
22025,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,0022500348,2025-12-05,PHI @ MIL,W,10,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,1,3,3,5.7,1,12/05/2025,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5,4,4,2,0
22025,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,0022500070,2025-11-28,PHI @ BKN,W,11,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,10,3.0,1,11/28/2025,3.0,6.0,0.0,0.0,1.0,0.0,1.0,2,0,2,2,0
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,0022500728,2026-02-04,HOU vs. BOS,L,33,4,11,0.364,0,4,0.0,7,7,1.0,0,5,5,1,2,1,2,1,15,-22,29.5,1,02/04/2026,4.0,3.0,0.0,0.0,0.0,0.0,0.0,21,20,16,6,3
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,0022500701,2026-01-31,HOU vs. DAL,W,38,6,17,0.353,1,4,0.25,0,0,0.0,0,5,5,8,2,0,1,2,13,1,36.0,1,01/31/2026,15.0,23.0,10.0,0.0,12.0,6.0,3.0,26,18,21,13,2
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,0022500682,2026-01-29,HOU @ ATL,W,34,12,22,0.545,3,8,0.375,4,4,1.0,1,4,5,4,0,0,3,2,31,12,40.0,1,01/29/2026,9.0,12.0,0.0,0.0,6.0,6.0,0.0,40,36,35,9,0
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,0022500679,2026-01-28,HOU vs. SAS,L,36,8,17,0.471,2,4,0.5,6,6,1.0,1,1,2,6,0,1,3,2,24,-9,35.4,1,01/28/2026,11.0,15.0,0.0,0.0,10.0,6.0,3.0,32,26,30,8,1
22025,201142,Kevin Durant,1610612745,HOU,Houston Rockets,0022500662,2026-01-26,HOU vs. MEM,W,37,11,24,0.458,4,9,0.444,7,9,0.778,2,6,8,2,0,1,2,1,33,1,46.6,1,01/26/2026,8.0,6.0,0.0,0.0,5.0,4.0,0.0,43,41,35,10,1
22025,201143,Al Horford,1610612744,GSW,Golden State Warriors,0022500724,2026-02-03,GSW vs. PHI,L,20,4,7,0.571,2,4,0.5,0,0,0.0,0,0,0,2,0,1,0,5,10,-27,16.0,1,02/03/2026,4.0,6.0,0.0,0.0,2.0,4.0,0.0,12,10,12,2,1
22025,201143,Al Horford,1610612744,GSW,Golden State Warriors,0022500696,2026-01-30,GSW vs. DET,L,23,5,9,0.556,1,4,0.25,2,2,1.0,1,6,7,3,2,1,1,1,13,-11,33.9,1,01/30/2026,5.0,9.0,0.0,0.0,3.0,0.0,2.0,23,20,16,10,3
22025,201143,Al Horford,1610612744,GSW,Golden State Warriors,0022500678,2026-01-28,GSW @ UTA,W,24,4,5,0.8,1,2,0.5,0,0,0.0,3,2,5,8,1,3,1,2,9,22,38.0,1,01/28/2026,11.0,23.0,0.0,0.0,3.0,0.0,3.0,22,14,17,13,4
22025,201143,Al Horford,1610612744,GSW,Golden State Warriors,0022500644,2026-01-25,GSW @ MIN,W,23,4,7,0.571,2,5,0.4,0,0,0.0,0,5,5,2,1,1,0,1,10,7,25.0,1,01/25/2026,2.0,5.0,0.0,0.0,0.0,0.0,0.0,17,15,12,7,2
22025,201143,Al Horford,1610612744,GSW,Golden State Warriors,0022500630,2026-01-22,GSW @ DAL,L,26,1,4,0.25,1,3,0.333,0,0,0.0,1,7,8,3,1,1,2,3,3,2,21.1,1,01/22/2026,7.0,6.0,0.0,0.0,0.0,0.0,0.0,14,11,6,11,2
22025,201144,Mike Conley,1610612750,MIN,Minnesota Timberwolves,0022500714,2026-02-02,MIN @ MEM,L,14,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-13,4.2,1,02/02/2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,3,0
22025,201144,Mike Conley,1610612750,MIN,Minnesota Timberwolves,0022500700,2026-01-31,MIN @ MEM,W,18,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,2,2,2,1,0,0,18,17.6,1,01/31/2026,3.0,4.0,3.0,0.0,1.0,0.0,0.0,5,3,2,5,4
22025,201144,Mike Conley,1610612750,MIN,Minnesota Timberwolves,0022500677,2026-01-28,MIN @ DAL,W,23,2,6,0.333,2,5,0.4,0,0,0.0,1,0,1,5,1,1,1,2,6,6,19.7,1,01/28/2026,8.0,15.0,0.0,0.0,4.0,0.0,3.0,12,7,11,6,2
22025,201144,Mike Conley,1610612750,MIN,Minnesota Timberwolves,0022500663,2026-01-26,MIN vs. GSW,W,21,0,4,0.0,0,4,0.0,2,2,1.0,0,2,2,2,0,1,0,1,2,11,10.4,1,01/26/2026,5.0,5.0,0.0,0.0,4.0,0.0,4.0,6,4,4,4,1
22025,201144,Mike Conley,1610612750,MIN,Minnesota Timberwolves,0022500644,2026-01-25,MIN vs. GSW,L,16,0,0,0.0,0,0,0.0,2,2,1.0,1,2,3,1,1,0,1,1,2,-14,9.1,1,01/25/2026,2.0,3.0,0.0,0.0,1.0,2.0,0.0,6,5,3,4,1
22025,201145,Jeff Green,1610612745,HOU,Houston Rockets,0022500728,2026-02-04,HOU vs. BOS,L,6,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,7,3.0,1,02/04/2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0
22025,201145,Jeff Green,1610612745,HOU,Houston Rockets,0022500682,2026-01-29,HOU @ ATL,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,0.0,1,01/29/2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
22025,201145,Jeff Green,1610612745,HOU,Houston Rockets,0022500581,2026-01-15,HOU vs. OKC,L,4,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-2,5.4,1,01/15/2026,0.0,0.0,2.0,0.5,0.0,0.0,0.0,5,5,3,2,0
22025,201145,Jeff Green,1610612745,HOU,Houston Rockets,0022500453,2025-12-29,HOU vs. IND,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-8,1.0,1,12/29/2025,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2,2,2,0,0
22025,201145,Jeff Green,1610612745,HOU,Houston Rockets,0022500438,2025-12-27,HOU vs. CLE,W,5,1,4,0.25,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,-9,4.5,1,12/27/2025,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4,3,4,1,0
22025,201566,Russell Westbrook,1610612758,SAC,Sacramento Kings,0022500731,2026-02-04,SAC vs. MEM,L,26,5,14,0.357,3,10,0.3,0,0,0.0,0,0,0,5,1,0,2,1,13,0,21.5,1,02/04/2026,8.0,11.0,0.0,0.0,0.0,0.0,0.0,18,13,18,5,1
22025,201566,Russell Westbrook,1610612758,SAC,Sacramento Kings,0022500665,2026-01-27,SAC @ NYK,L,33,6,19,0.316,2,9,0.222,0,0,0.0,3,1,4,5,1,0,6,4,14,-17,23.3,1,01/27/2026,8.0,10.0,0.0,0.0,8.0,2.0,5.0,23,18,19,9,1
22025,201566,Russell Westbrook,1610612758,SAC,Sacramento Kings,0022500650,2026-01-25,SAC @ DET,L,22,4,9,0.444,2,3,0.667,3,3,1.0,1,1,2,4,2,0,4,4,13,-16,23.4,1,01/25/2026,6.0,10.0,0.0,0.0,8.0,0.0,4.0,19,15,17,6,2
22025,201566,Russell Westbrook,1610612758,SAC,Sacramento Kings,0022500638,2026-01-23,SAC @ CLE,L,27,3,12,0.25,3,10,0.3,2,2,1.0,1,4,5,3,0,0,0,2,11,-18,21.5,1,01/23/2026,8.0,9.0,0.0,0.0,8.0,2.0,6.0,19,16,14,8,0
22025,201566,Russell Westbrook,1610612758,SAC,Sacramento Kings,0022500626,2026-01-21,SAC vs. TOR,L,35,9,22,0.409,2,8,0.25,3,3,1.0,0,3,3,3,3,0,4,2,23,-16,36.1,1,01/21/2026,7.0,10.0,0.0,0.0,14.0,10.0,2.0,29,26,26,6,3
22025,201567,Kevin Love,1610612762,UTA,Utah Jazz,0022500706,2026-02-01,UTA @ TOR,L,15,2,7,0.286,0,3,0.0,0,0,0.0,3,2,5,2,0,0,1,1,4,0,12.0,1,02/01/2026,2.0,5.0,0.0,0.0,3.0,2.0,0.0,11,9,6,7,0
22025,201567,Kevin Love,1610612762,UTA,Utah Jazz,0022500670,2026-01-27,UTA vs. LAC,L,24,1,5,0.2,1,4,0.25,0,0,0.0,1,10,11,1,1,0,1,2,3,-20,19.7,1,01/27/2026,2.0,3.0,0.0,0.0,0.0,0.0,0.0,15,14,4,12,1
22025,201567,Kevin Love,1610612762,UTA,Utah Jazz,0022500632,2026-01-22,UTA vs. SAS,L,13,2,3,0.667,1,1,1.0,0,0,0.0,0,4,4,1,0,1,1,1,5,4,13.3,1,01/22/2026,1.0,3.0,0.0,0.0,0.0,0.0,0.0,10,9,6,5,1
22025,201567,Kevin Love,1610612762,UTA,Utah Jazz,0022500611,2026-01-19,UTA @ SAS,L,21,1,6,0.167,1,3,0.333,3,3,1.0,6,5,11,2,1,0,2,0,6,-4,23.2,1,01/19/2026,3.0,5.0,0.0,0.0,1.0,0.0,1.0,19,17,8,13,1
22025,201567,Kevin Love,1610612762,UTA,Utah Jazz,0022500558,2026-01-12,UTA @ CLE,W,18,4,6,0.667,3,5,0.6,0,0,0.0,0,3,3,2,0,0,2,1,11,-2,15.6,1,01/12/2026,2.0,6.0,0.0,0.0,0.0,0.0,0.0,16,14,13,5,0